"","epoch","Middle layers","Number of nodes","Validation","Loss","Batch normalization"
"352",22,"2 layer","medium small","Validation error",22.9553966522217,TRUE
"353",23,"2 layer","medium small","Validation error",22.7579174041748,TRUE
"354",24,"2 layer","medium small","Validation error",23.5366058349609,TRUE
"355",25,"2 layer","medium small","Validation error",24.2226810455322,TRUE
"356",26,"2 layer","medium small","Validation error",23.2066287994385,TRUE
"357",27,"2 layer","medium small","Validation error",23.6171054840088,TRUE
"358",28,"2 layer","medium small","Validation error",23.646821975708,TRUE
"359",29,"2 layer","medium small","Validation error",22.9241180419922,TRUE
"360",30,"2 layer","medium small","Validation error",23.0177688598633,TRUE
"361",1,"2 layer","mega","Validation error",34.1385231018066,TRUE
"362",2,"2 layer","mega","Validation error",27.7131595611572,TRUE
"363",3,"2 layer","mega","Validation error",28.2846698760986,TRUE
"364",4,"2 layer","mega","Validation error",25.7833976745605,TRUE
"365",5,"2 layer","mega","Validation error",24.3492202758789,TRUE
"366",6,"2 layer","mega","Validation error",22.8689308166504,TRUE
"367",7,"2 layer","mega","Validation error",25.0464458465576,TRUE
"368",8,"2 layer","mega","Validation error",24.404857635498,TRUE
"369",9,"2 layer","mega","Validation error",23.9569034576416,TRUE
"370",10,"2 layer","mega","Validation error",24.0252170562744,TRUE
"371",11,"2 layer","mega","Validation error",24.9128856658936,TRUE
"372",12,"2 layer","mega","Validation error",23.5750846862793,TRUE
"373",13,"2 layer","mega","Validation error",23.9182643890381,TRUE
"374",14,"2 layer","mega","Validation error",24.898458480835,TRUE
"375",15,"2 layer","mega","Validation error",24.5762100219727,TRUE
"376",16,"2 layer","mega","Validation error",23.09690284729,TRUE
"377",17,"2 layer","mega","Validation error",27.4663028717041,TRUE
"378",18,"2 layer","mega","Validation error",23.7069244384766,TRUE
"379",19,"2 layer","mega","Validation error",24.1306934356689,TRUE
"380",20,"2 layer","mega","Validation error",24.4552516937256,TRUE
"381",21,"2 layer","mega","Validation error",24.3470344543457,TRUE
"382",22,"2 layer","mega","Validation error",26.3229656219482,TRUE
"383",23,"2 layer","mega","Validation error",23.628625869751,TRUE
"384",24,"2 layer","mega","Validation error",24.4080657958984,TRUE
"385",25,"2 layer","mega","Validation error",23.5442333221436,TRUE
"386",26,"2 layer","mega","Validation error",24.1153202056885,TRUE
"387",27,"2 layer","mega","Validation error",24.3109531402588,TRUE
"388",28,"2 layer","mega","Validation error",24.5879974365234,TRUE
"389",29,"2 layer","mega","Validation error",25.1943092346191,TRUE
"390",30,"2 layer","mega","Validation error",23.737621307373,TRUE
"391",1,"2 layer","small","Validation error",96.5288009643555,TRUE
"392",2,"2 layer","small","Validation error",49.4633445739746,TRUE
"393",3,"2 layer","small","Validation error",29.4859924316406,TRUE
"394",4,"2 layer","small","Validation error",24.1988563537598,TRUE
"395",5,"2 layer","small","Validation error",25.6809368133545,TRUE
"396",6,"2 layer","small","Validation error",24.6320552825928,TRUE
"397",7,"2 layer","small","Validation error",24.7951431274414,TRUE
"398",8,"2 layer","small","Validation error",24.6290855407715,TRUE
"399",9,"2 layer","small","Validation error",25.0428276062012,TRUE
"400",10,"2 layer","small","Validation error",25.4103183746338,TRUE
"401",11,"2 layer","small","Validation error",24.6916637420654,TRUE
"402",12,"2 layer","small","Validation error",24.7754249572754,TRUE
"403",13,"2 layer","small","Validation error",24.2945308685303,TRUE
"404",14,"2 layer","small","Validation error",24.791561126709,TRUE
"405",15,"2 layer","small","Validation error",23.5757656097412,TRUE
"406",16,"2 layer","small","Validation error",24.1715965270996,TRUE
"407",17,"2 layer","small","Validation error",24.0487861633301,TRUE
"408",18,"2 layer","small","Validation error",24.1328163146973,TRUE
"409",19,"2 layer","small","Validation error",23.751838684082,TRUE
"410",20,"2 layer","small","Validation error",25.2747039794922,TRUE
"411",21,"2 layer","small","Validation error",23.754768371582,TRUE
"412",22,"2 layer","small","Validation error",24.2405300140381,TRUE
"413",23,"2 layer","small","Validation error",24.1988391876221,TRUE
"414",24,"2 layer","small","Validation error",23.2987308502197,TRUE
"415",25,"2 layer","small","Validation error",23.6294403076172,TRUE
"416",26,"2 layer","small","Validation error",24.1745662689209,TRUE
"417",27,"2 layer","small","Validation error",23.5846939086914,TRUE
"418",28,"2 layer","small","Validation error",24.0531940460205,TRUE
"419",29,"2 layer","small","Validation error",23.0777168273926,TRUE
"420",30,"2 layer","small","Validation error",24.3623657226562,TRUE
"421",1,"3 layer","huge","Validation error",31.9541702270508,TRUE
"422",2,"3 layer","huge","Validation error",27.2066764831543,TRUE
